ISO3,CountryCode,Country Name
NZL,554,New Zealand
OMN,512,Oman
PAK,586,Pakistan
PAN,591,Panama
PCE,582,Pacific Islands
PCN,612,Pitcairn
PCZ,592,Fm Panama Cz
PER,604,Peru
PHL,608,Philippines
PLW,585,Palau
PMY,459,Pen Malaysia
PNG,598,Papua New Guinea
POL,616,Poland
PRI,630,Puerto Rico
PRK,408,"Korea, Dem. Rep."
PRT,620,Portugal
PRY,600,Paraguay
PSE,275,Occ.Pal.Terr
PYF,258,French Polynesia
QAT,634,Qatar
REU,638,Reunion
ROM,642,Romania
RUS,643,Russian Federation
RWA,646,Rwanda
RYU,647,Ryukyu Is
SAU,682,Saudi Arabia
SBH,461,Sabah
SDN,736,Sudan
SEN,686,Senegal
SER,891,Yugoslavia
SGP,702,Singapore
SGS,239,South Georgia and the South Sa
SHN,654,Saint Helena
SIK,698,SIKKIM
SJM,744,Svalbard and Jan Mayen Is
SLB,090,Solomon Islands
SLE,694,Sierra Leone
SLV,222,El Salvador
SMR,674,San Marino
SOM,706,Somalia
SPE,839,Special Categories
SPM,666,Saint Pierre and Miquelon
STP,678,Sao Tome and Principe
SUR,740,Suriname
SVK,703,Slovak Republic
SVN,705,Slovenia
SVR,868,Fm Vietnam Rp
SVU,810,Soviet Union
SWE,752,Sweden
SWK,457,Sarawak
SWZ,748,Swaziland
SYC,690,Seychelles
SYR,760,Syrian Arab Republic
TAN,835,Fm Tanganyik
TCA,796,Turks and Caicos Isl.
TCD,148,Chad
TGO,768,Togo
THA,764,Thailand
TJK,762,Tajikistan
TKL,772,Tokelau
TKM,795,Turkmenistan
TMP,626,East Timor
TON,776,Tonga
TTO,780,Trinidad and Tobago
TUN,788,Tunisia
TUR,792,Turkey
TUV,798,Tuvalu
TWN,158,"Taiwan, China"
TZA,834,Tanzania
UGA,800,Uganda
UKR,804,Ukraine
UMI,581,United States Minor Outlying I
UNS,898,Unspecified
URY,858,Uruguay
USA,840,United States
USP,849,Us Msc.Pac.I
UZB,860,Uzbekistan
VAT,336,Holy See
VCT,670,St. Vincent and the Grenadines
VDR,866,Fm Vietnam DR
VEN,862,Venezuela
VGB,092,British Virgin Islands
VIR,850,Virgin Islands (U.S.)
VNM,704,Vietnam
VUT,548,Vanuatu
WAK,872,Wake Island
WLD,000, World
WLF,876,Wallis and Futura Isl.
WSM,882,Samoa
YDR,720,Yemen Democratic
YEM,887,Yemen
YUG,890,"Yugoslavia, FR (Serbia/Montene"
ZAF,710,South Africa
ZAR,180,"Congo, Dem. Rep."
ZMB,894,Zambia
ZPM,836,Fm Zanz-Pemb
ZW1,717,Fm Rhod Nyas
ZWE,716,Zimbabwe
